Player,Age,Pos,GP,G,A,PTS,+/-,PIM,TOI,ATOI
Alex Ovechkin,28,LW,78,51,28,79,-35,48,1603,20:33
Nicklas Backstrom,26,C,82,18,61,79,-20,54,1624,19:48
Jay Beagle,28,C,62,4,5,9,-9,28,697,11:15
John Carlson,24,D,82,10,27,37,-3,22,2010,24:31
Braden Holtby,24,G,48,0,2,2,,7,2656,55:20
Dmitry Orlov,22,D,54,3,8,11,-1,19,1058,19:36
Philipp Grubauer,22,G,17,0,0,0,,0,883,51:58
Evgeny Kuznetsov,21,C,17,3,6,9,-2,6,229,13:28
Tom Wilson,19,RW,82,3,7,10,1,151,651,7:56
